cname1,year,milex_sipri
"Canada",2006,15845
"Canada",2007,17275
"Canada",2008,18617
"Canada",2009,19467
"Canada",2010,17583
"Canada",2011,18177
"Canada",2012,17284
"Canada",2013,15977
"Canada",2014,16238
"Canada",2015,18656
"Canada",2016,18904
"Canada",2017,22835
"Canada",2018,22729
"Croatia",1993,2596
"Croatia",1994,2918
"Croatia",1995,3103
"Croatia",1996,2909
"Croatia",1997,2934
"Croatia",1998,2262
"Croatia",1999,1764
"Croatia",2000,1250
"Croatia",2001,1158
"Croatia",2002,1253
"Croatia",2003,1014
"Croatia",2004,921
"Croatia",2005,961
"Croatia",2006,972
"Croatia",2007,1000
"Croatia",2008,1148
"Croatia",2009,1046
"Croatia",2010,969
"Croatia",2011,1004
"Croatia",2012,917
"Croatia",2013,877
"Croatia",2014,984
"Croatia",2015,980
"Croatia",2016,931
"Croatia",2017,989
"Croatia",2018,966
"Cyprus",1993,440
"Cyprus",1994,463
"Cyprus",1995,415
"Cyprus",1996,623
"Cyprus",1997,790
"Cyprus",1998,705
"Cyprus",1999,436
"Cyprus",2000,466
"Cyprus",2001,550
"Cyprus",2002,376
"Cyprus",2003,364
"Cyprus",2004,378
"Cyprus",2005,411
"Cyprus",2006,404
"Cyprus",2007,383
"Cyprus",2008,384
"Cyprus",2009,419
"Cyprus",2010,435
"Cyprus",2011,403
"Cyprus",2012,368
"Cyprus",2013,332
"Cyprus",2014,313
"Cyprus",2015,351
"Cyprus",2016,321
"Cyprus",2017,381
"Cyprus",2018,445
"Czechia",1993,2649
"Czechia",1994,2736
"Czechia",1995,2624
"Czechia",1996,2603
"Czechia",1997,2462
"Czechia",1998,2672
"Czechia",1999,2897
"Czechia",2000,2991
"Czechia",2001,2878
"Czechia",2002,3072
"Czechia",2003,3336
"Czechia",2004,3203
"Czechia",2005,3502
"Czechia",2006,3235
"Czechia",2007,3122
"Czechia",2008,2662
"Czechia",2009,2740
"Czechia",2010,2486
"Czechia",2011,2239
"Czechia",2012,2152
"Czechia",2013,2052
"Czechia",2014,2042
"Czechia",2015,2123
"Czechia",2016,2301
"Czechia",2017,2298
"Czechia",2018,2710
"Czechoslovakia",1993,
"Czechoslovakia",1994,
"Czechoslovakia",1995,
"Czechoslovakia",1996,
"Czechoslovakia",1997,
"Czechoslovakia",1998,
"Czechoslovakia",1999,
"Czechoslovakia",2000,
"Czechoslovakia",2001,
"Czechoslovakia",2002,
"Czechoslovakia",2003,
"Czechoslovakia",2004,
"Czechoslovakia",2005,
"Czechoslovakia",2006,
"Czechoslovakia",2007,
"Czechoslovakia",2008,
"Czechoslovakia",2009,
"Czechoslovakia",2010,
"Czechoslovakia",2011,
"Czechoslovakia",2012,
"Czechoslovakia",2013,
"Czechoslovakia",2014,
"Czechoslovakia",2015,
"Czechoslovakia",2016,
"Czechoslovakia",2017,
"Czechoslovakia",2018,
"Denmark",1993,4310
"Denmark",1994,4202
"Denmark",1995,4158
"Denmark",1996,4171
"Denmark",1997,4224
"Denmark",1998,4271
"Denmark",1999,4245
"Denmark",2000,4106
"Denmark",2001,4361
"Denmark",2002,4308
"Denmark",2003,4182
"Denmark",2004,4206
"Denmark",2005,4008
"Denmark",2006,4381
"Denmark",2007,4226
"Denmark",2008,4388
"Denmark",2009,4126
"Denmark",2010,4393
"Denmark",2011,4094
"Denmark",2012,4222
"Denmark",2013,3873
"Denmark",2014,3703
"Denmark",2015,3664
"Denmark",2016,3906
"Denmark",2017,3985
"Denmark",2018,4559
"Estonia",1993,70.9
"Estonia",1994,90.2
"Estonia",1995,89.4
"Estonia",1996,86.9
"Estonia",1997,116
"Estonia",1998,123
"Estonia",1999,153
"Estonia",2000,180
"Estonia",2001,210
"Estonia",2002,251
"Estonia",2003,290
"Estonia",2004,306
"Estonia",2005,293
"Estonia",2006,321
"Estonia",2007,435
"Estonia",2008,426
"Estonia",2009,369
"Estonia",2010,353
"Estonia",2011,376
"Estonia",2012,439
"Estonia",2013,454
"Estonia",2014,486
"Estonia",2015,529
"Estonia",2016,568
"Estonia",2017,585
"Estonia",2018,607
"Finland",1993,2600
"Finland",1994,2557
"Finland",1995,2301
"Finland",1996,2547
"Finland",1997,2739
"Finland",1998,2799
"Finland",1999,2439
"Finland",2000,2578
"Finland",2001,2457
"Finland",2002,2505
"Finland",2003,3181
"Finland",2004,3373
"Finland",2005,3470
"Finland",2006,3533
"Finland",2007,3329
"Finland",2008,3588
"Finland",2009,3767
"Finland",2010,3684
"Finland",2011,3742
"Finland",2012,3788
"Finland",2013,3812
"Finland",2014,3616
"Finland",2015,3698
"Finland",2016,3712
"Finland",2017,3649
"Finland",2018,3757
"France",1993,51663
"France",1994,51929
"France",1995,49358
"France",1996,48184
"France",1997,48358
"France",1998,47073
"France",1999,47469
"France",2000,46932
"France",2001,46787
"France",2002,47748
"France",2003,49189
"France",2004,50532
"France",2005,49496
"France",2006,49724
"France",2007,49705
"France",2008,49344
"France",2009,52995
"France",2010,50482
"France",2011,48981
"France",2012,48229
"France",2013,47916
"France",2014,48750
"France",2015,50084
"France",2016,52026
"France",2017,52710
"France",2018,51410
"Georgia",1993,
"Georgia",1994,
"Georgia",1995,
"Georgia",1996,108
"Georgia",1997,67.2
"Georgia",1998,64.9
"Georgia",1999,49.9
"Georgia",2000,34.1
"Georgia",2001,43.2
"Georgia",2002,61.8
"Georgia",2003,75.2
"Georgia",2004,105
"Georgia",2005,279
"Georgia",2006,474
"Georgia",2007,938
"Georgia",2008,891
"Georgia",2009,543
"Georgia",2010,407
"Georgia",2011,366
"Georgia",2012,380
"Georgia",2013,346
"Georgia",2014,335
"Georgia",2015,298
"Georgia",2016,320
"Georgia",2017,316
"Georgia",2018,327
"Germany",1993,51308
"Germany",1994,47851
"Germany",1995,47063
"Germany",1996,46143
"Germany",1997,44440
"Germany",1998,44593
"Germany",1999,45495
"Germany",2000,44777
"Germany",2001,44041
"Germany",2002,44161
"Germany",2003,43557
"Germany",2004,42223
"Germany",2005,41566
"Germany",2006,40606
"Germany",2007,41057
"Germany",2008,42238
"Germany",2009,44074
"Germany",2010,44468
"Germany",2011,43275
"Germany",2012,43646
"Germany",2013,41980
"Germany",2014,41032
"Germany",2015,40888
"Germany",2016,43784
"Germany",2017,45340
"Germany",2018,46512
"Greece",1993,5759
"Greece",1994,5858
"Greece",1995,5983
"Greece",1996,6342
"Greece",1997,6758
"Greece",1998,7364
"Greece",1999,7710
"Greece",2000,8137
"Greece",2001,7958
"Greece",2002,7806
"Greece",2003,6688
"Greece",2004,7353
"Greece",2005,7951
"Greece",2006,8267
"Greece",2007,8260
"Greece",2008,9183
"Greece",2009,9628
"Greece",2010,7398
"Greece",2011,5957
"Greece",2012,5268
"Greece",2013,4920
"Greece",2014,4880
"Greece",2015,5175
"Greece",2016,5390
"Greece",2017,5386
"Greece",2018,5757
"Hungary",1993,1564
"Hungary",1994,1549
"Hungary",1995,1166
"Hungary",1996,1097
"Hungary",1997,1349
"Hungary",1998,1206
"Hungary",1999,1378
"Hungary",2000,1521
"Hungary",2001,1670
"Hungary",2002,1824
"Hungary",2003,1969
"Hungary",2004,1823
"Hungary",2005,1804
"Hungary",2006,1617
"Hungary",2007,1647
"Hungary",2008,1531
"Hungary",2009,1364
"Hungary",2010,1224
"Hungary",2011,1241
"Hungary",2012,1181
"Hungary",2013,1117
"Hungary",2014,1100
"Hungary",2015,1237
"Hungary",2016,1414
"Hungary",2017,1533
"Hungary",2018,1792
"Iceland",1993,0
"Iceland",1994,0
"Iceland",1995,0
"Iceland",1996,0
"Iceland",1997,0
"Iceland",1998,0
"Iceland",1999,0
"Iceland",2000,0
"Iceland",2001,0
"Iceland",2002,0
"Iceland",2003,0
"Iceland",2004,0
"Iceland",2005,0
"Iceland",2006,0
"Iceland",2007,0
"Iceland",2008,0
"Iceland",2009,0
"Iceland",2010,0
"Iceland",2011,0
"Iceland",2012,0
"Iceland",2013,0
"Iceland",2014,0
"Iceland",2015,0
"Iceland",2016,0
"Iceland",2017,0
"Iceland",2018,0
"Ireland",1993,974
"Ireland",1994,996
"Ireland",1995,1004
"Ireland",1996,1058
"Ireland",1997,1121
"Ireland",1998,1130
"Ireland",1999,1169
"Ireland",2000,1199
"Ireland",2001,1301
"Ireland",2002,1250
"Ireland",2003,1198
"Ireland",2004,1216
"Ireland",2005,1232
"Ireland",2006,1222
"Ireland",2007,1231
"Ireland",2008,1275
"Ireland",2009,1258
"Ireland",2010,1199
"Ireland",2011,1137
"Ireland",2012,1077
"Ireland",2013,1071
"Ireland",2014,1067
"Ireland",2015,1070
"Ireland",2016,1078
"Ireland",2017,1084
"Ireland",2018,1107
"Italy",1993,29440
"Italy",1994,28712
"Italy",1995,26223
"Italy",1996,28894
"Italy",1997,30297
"Italy",1998,31300
"Italy",1999,32524
"Italy",2000,34693
"Italy",2001,34124
"Italy",2002,35056
"Italy",2003,35341
"Italy",2004,35457
"Italy",2005,34113
"Italy",2006,33008
"Italy",2007,32066
"Italy",2008,33393
"Italy",2009,32299
"Italy",2010,31377
"Italy",2011,30727
"Italy",2012,28403
"Italy",2013,27315
"Italy",2014,25216
"Italy",2015,24146
"Italy",2016,27353
"Italy",2017,28139
"Italy",2018,27808
"Kosovo",1993,
"Kosovo",1994,
"Kosovo",1995,
"Kosovo",1996,
"Kosovo",1997,
"Kosovo",1998,
"Kosovo",1999,
"Kosovo",2000,
"Kosovo",2001,
"Kosovo",2002,
"Kosovo",2003,
"Kosovo",2004,
"Kosovo",2005,
"Kosovo",2006,
"Kosovo",2007,
"Kosovo",2008,.9
"Kosovo",2009,27.5
"Kosovo",2010,39.5
"Kosovo",2011,46.4
"Kosovo",2012,41.7
"Kosovo",2013,44.4
"Kosovo",2014,48.8
"Kosovo",2015,54.7
"Kosovo",2016,56.8
"Kosovo",2017,60.9
"Kosovo",2018,63.3
"Latvia",1993,91.8
"Latvia",1994,107.3
"Latvia",1995,104
"Latvia",1996,80.8
"Latvia",1997,78.3
"Latvia",1998,84.3
"Latvia",1999,110
"Latvia",2000,137
"Latvia",2001,172
"Latvia",2002,281
"Latvia",2003,324
"Latvia",2004,350
"Latvia",2005,407
"Latvia",2006,512
"Latvia",2007,558
"Latvia",2008,547
"Latvia",2009,347
"Latvia",2010,263
"Latvia",2011,272
"Latvia",2012,250
"Latvia",2013,269
"Latvia",2014,279
"Latvia",2015,318
"Latvia",2016,458
"Latvia",2017,520
"Latvia",2018,724
"Lithuania",1993,167
"Lithuania",1994,90.2
"Lithuania",1995,93.9
"Lithuania",1996,105
"Lithuania",1997,172
"Lithuania",1998,299
"Lithuania",1999,229
"Lithuania",2000,298
"Lithuania",2001,350
"Lithuania",2002,349
"Lithuania",2003,341
"Lithuania",2004,394
"Lithuania",2005,429
"Lithuania",2006,475
"Lithuania",2007,518
"Lithuania",2008,534
"Lithuania",2009,403
"Lithuania",2010,336
"Lithuania",2011,325
"Lithuania",2012,325
"Lithuania",2013,336
"Lithuania",2014,405
"Lithuania",2015,539
"Lithuania",2016,722
"Lithuania",2017,877
"Lithuania",2018,1056
"Luxembourg",1993,174
"Luxembourg",1994,192
"Luxembourg",1995,187
"Luxembourg",1996,193
"Luxembourg",1997,209
"Luxembourg",1998,224
"Luxembourg",1999,227
"Luxembourg",2000,232
"Luxembourg",2001,291
"Luxembourg",2002,259
"Luxembourg",2003,274
"Luxembourg",2004,288
"Luxembourg",2005,292
"Luxembourg",2006,286
"Luxembourg",2007,296
"Luxembourg",2008,221
"Luxembourg",2009,219
"Luxembourg",2010,276
"Luxembourg",2011,239
"Luxembourg",2012,232
"Luxembourg",2013,241
"Luxembourg",2014,258
"Luxembourg",2015,304
"Luxembourg",2016,287
"Luxembourg",2017,382
"Luxembourg",2018,393
"Malta",1993,44.9
"Malta",1994,48.2
"Malta",1995,48.2
"Malta",1996,51.6
"Malta",1997,50.1
"Malta",1998,46
"Malta",1999,44.5
"Malta",2000,43.2
"Malta",2001,46.2
"Malta",2002,45.6
"Malta",2003,47
"Malta",2004,49.6
"Malta",2005,62.6
"Malta",2006,50.9
"Malta",2007,50.9
"Malta",2008,52.2
"Malta",2009,56.9
"Malta",2010,58.4
"Malta",2011,51.4
"Malta",2012,48.6
"Malta",2013,50
"Malta",2014,52.5
"Malta",2015,56.9
"Malta",2016,65.3
"Malta",2017,68.4
"Malta",2018,66.9
"Moldova",1993,34.5
"Moldova",1994,30.5
"Moldova",1995,38.5
"Moldova",1996,36.7
"Moldova",1997,37.4
"Moldova",1998,24.6
"Moldova",1999,19.5
"Moldova",2000,14.9
"Moldova",2001,16.5
"Moldova",2002,19.3
"Moldova",2003,21
"Moldova",2004,18.8
"Moldova",2005,21.8
"Moldova",2006,27.8
"Moldova",2007,31.5
"Moldova",2008,38.8
"Moldova",2009,28.1
"Moldova",2010,21.4
"Moldova",2011,23.6
"Moldova",2012,24.2
"Moldova",2013,26.9
"Moldova",2014,29.5
"Moldova",2015,30.2
"Moldova",2016,35.8
"Moldova",2017,35
"Moldova",2018,37.4
"Montenegro",1993,
"Montenegro",1994,
"Montenegro",1995,
"Montenegro",1996,
"Montenegro",1997,
"Montenegro",1998,
"Montenegro",1999,
"Montenegro",2000,
"Montenegro",2001,
"Montenegro",2002,
"Montenegro",2003,
"Montenegro",2004,
"Montenegro",2005,81.7
"Montenegro",2006,80.6
"Montenegro",2007,72.9
"Montenegro",2008,83.1
"Montenegro",2009,76.3
"Montenegro",2010,77.8
"Montenegro",2011,75.8
"Montenegro",2012,67.2
"Montenegro",2013,60.9
"Montenegro",2014,63.9
"Montenegro",2015,63.4
"Montenegro",2016,69.2
"Montenegro",2017,71
"Montenegro",2018,78.9
"Netherlands",1993,11266
"Netherlands",1994,10864
"Netherlands",1995,10556
"Netherlands",1996,10606
"Netherlands",1997,10502
"Netherlands",1998,10467
"Netherlands",1999,10981
"Netherlands",2000,10543
"Netherlands",2001,10821
"Netherlands",2002,10809
"Netherlands",2003,10966
"Netherlands",2004,11045
"Netherlands",2005,11065
"Netherlands",2006,11587
"Netherlands",2007,11743
"Netherlands",2008,11540
"Netherlands",2009,11789
"Netherlands",2010,11293
"Netherlands",2011,10914
"Netherlands",2012,10255
"Netherlands",2013,9552
"Netherlands",2014,9565
"Netherlands",2015,9542
"Netherlands",2016,10031
"Netherlands",2017,10250
"Netherlands",2018,11115
"North Macedonia",1993,
"North Macedonia",1994,
"North Macedonia",1995,
"North Macedonia",1996,151
"North Macedonia",1997,119
"North Macedonia",1998,122
"North Macedonia",1999,109
"North Macedonia",2000,124
"North Macedonia",2001,396
"North Macedonia",2002,172
"North Macedonia",2003,157
"North Macedonia",2004,167
"North Macedonia",2005,156
"North Macedonia",2006,148
"North Macedonia",2007,171
"North Macedonia",2008,157
"North Macedonia",2009,153
"North Macedonia",2010,131
"North Macedonia",2011,122
"North Macedonia",2012,115
"North Macedonia",2013,115
"North Macedonia",2014,113
"North Macedonia",2015,109
"North Macedonia",2016,114
"North Macedonia",2017,108
"North Macedonia",2018,120
"Norway",1993,4632
"Norway",1994,4871
"Norway",1995,4399
"Norway",1996,4459
"Norway",1997,4385
"Norway",1998,4676
"Norway",1999,4699
"Norway",2000,4543
"Norway",2001,4573
"Norway",2002,5495
"Norway",2003,5283
"Norway",2004,5417
"Norway",2005,5097
"Norway",2006,5087
"Norway",2007,5412
"Norway",2008,5442
"Norway",2009,5774
"Norway",2010,5684
"Norway",2011,5791
"Norway",2012,5896
"Norway",2013,6033
"Norway",2014,6295
"Norway",2015,6249
"Norway",2016,6485
"Norway",2017,6753
"Norway",2018,7067
"Poland",1993,4827
"Poland",1994,4819
"Poland",1995,4849
"Poland",1996,5103
"Poland",1997,5592
"Poland",1998,5807
"Poland",1999,5718
"Poland",2000,5558
"Poland",2001,5731
"Poland",2002,5830
"Poland",2003,6066
"Poland",2004,6354
"Poland",2005,6787
"Poland",2006,7215
"Poland",2007,8150
"Poland",2008,7413
"Poland",2009,7819
"Poland",2010,8193
"Poland",2011,8307
"Poland",2012,8380
"Poland",2013,8312
"Poland",2014,9247
"Poland",2015,11005
"Poland",2016,10395
"Poland",2017,10630
"Poland",2018,12041
"Portugal",1993,3635
"Portugal",1994,3536
"Portugal",1995,3798
"Portugal",1996,3664
"Portugal",1997,3737
"Portugal",1998,3660
"Portugal",1999,3850
"Portugal",2000,3964
"Portugal",2001,4125
"Portugal",2002,4237
"Portugal",2003,4091
"Portugal",2004,4345
"Portugal",2005,4606
"Portugal",2006,4459
"Portugal",2007,4282
"Portugal",2008,4299
"Portugal",2009,4702
"Portugal",2010,4637
"Portugal",2011,4429
"Portugal",2012,3933
"Portugal",2013,4334
"Portugal",2014,3786
"Portugal",2015,3908
"Portugal",2016,4516
"Portugal",2017,3905
"Portugal",2018,4420
"Romania",1993,1943
"Romania",1994,2317
"Romania",1995,2259
"Romania",1996,2196
"Romania",1997,2462
"Romania",1998,2236
"Romania",1999,2018
"Romania",2000,1921
"Romania",2001,2014
"Romania",2002,2004
"Romania",2003,2067
"Romania",2004,2222
"Romania",2005,2350
"Romania",2006,2423
"Romania",2007,2323
"Romania",2008,2561
"Romania",2009,2177
"Romania",2010,2005
"Romania",2011,2074
"Romania",2012,2018
"Romania",2013,2172
"Romania",2014,2373
"Romania",2015,2738
"Romania",2016,2889
"Romania",2017,3919
"Romania",2018,4359
"Serbia",1993,
"Serbia",1994,
"Serbia",1995,
"Serbia",1996,1104
"Serbia",1997,1225
"Serbia",1998,1121
"Serbia",1999,1051
"Serbia",2000,1521
"Serbia",2001,1211
"Serbia",2002,1339
"Serbia",2003,1174
"Serbia",2004,1084
"Serbia",2005,909
"Serbia",2006,917
"Serbia",2007,1034
"Serbia",2008,1003
"Serbia",2009,986
"Serbia",2010,957
"Serbia",2011,919
"Serbia",2012,888
"Serbia",2013,861
"Serbia",2014,869
"Serbia",2015,836
"Serbia",2016,829
"Serbia",2017,890
"Serbia",2018,818
"Slovakia",1993,1022
"Slovakia",1994,1055
"Slovakia",1995,1868
"Slovakia",1996,1856
"Slovakia",1997,1493
"Slovakia",1998,1168
"Slovakia",1999,1020
"Slovakia",2000,1061
"Slovakia",2001,1195
"Slovakia",2002,1213
"Slovakia",2003,1286
"Slovakia",2004,1195
"Slovakia",2005,1295
"Slovakia",2006,1314
"Slovakia",2007,1329
"Slovakia",2008,1362
"Slovakia",2009,1301
"Slovakia",2010,1139
"Slovakia",2011,977
"Slovakia",2012,978
"Slovakia",2013,885
"Slovakia",2014,914
"Slovakia",2015,1084
"Slovakia",2016,1112
"Slovakia",2017,1131
"Slovakia",2018,1296
"Slovenia",1993,430
"Slovenia",1994,418
"Slovenia",1995,476
"Slovenia",1996,488
"Slovenia",1997,469
"Slovenia",1998,468
"Slovenia",1999,440
"Slovenia",2000,401
"Slovenia",2001,492
"Slovenia",2002,545
"Slovenia",2003,568
"Slovenia",2004,603
"Slovenia",2005,614
"Slovenia",2006,704
"Slovenia",2007,708
"Slovenia",2008,750
"Slovenia",2009,755
"Slovenia",2010,752
"Slovenia",2011,607
"Slovenia",2012,522
"Slovenia",2013,463
"Slovenia",2014,444
"Slovenia",2015,440
"Slovenia",2016,495
"Slovenia",2017,507
"Slovenia",2018,529
"Spain",1993,16411
"Spain",1994,16580
"Spain",1995,16712
"Spain",1996,16184
"Spain",1997,16026
"Spain",1998,16819
"Spain",1999,18483
"Spain",2000,19102
"Spain",2001,18890
"Spain",2002,17510
"Spain",2003,17771
"Spain",2004,18575
"Spain",2005,18807
"Spain",2006,19423
"Spain",2007,20144
"Spain",2008,20033
"Spain",2009,19231
"Spain",2010,19356
"Spain",2011,17856
"Spain",2012,18059
"Spain",2013,15755
"Spain",2014,15731
"Spain",2015,16722
"Spain",2016,15506
"Spain",2017,17160
"Spain",2018,17823
"Sweden",1993,6054
"Sweden",1994,6040
"Sweden",1995,6054
"Sweden",1996,6129
"Sweden",1997,5815
"Sweden",1998,5988
"Sweden",1999,6215
"Sweden",2000,6354
"Sweden",2001,6029
"Sweden",2002,5868
"Sweden",2003,5826
"Sweden",2004,5483
"Sweden",2005,5554
"Sweden",2006,5467
"Sweden",2007,5611
"Sweden",2008,4990
"Sweden",2009,4894
"Sweden",2010,5296
"Sweden",2011,4980
"Sweden",2012,5084
"Sweden",2013,5114
"Sweden",2014,5418
"Sweden",2015,5476
"Sweden",2016,5548
"Sweden",2017,5548
"Sweden",2018,5733
"Switzerland",1993,6284
"Switzerland",1994,6227
"Switzerland",1995,6301
"Switzerland",1996,5962
"Switzerland",1997,5747
"Switzerland",1998,5733
"Switzerland",1999,5307
"Switzerland",2000,5228
"Switzerland",2001,5105
"Switzerland",2002,4887
"Switzerland",2003,4760
"Switzerland",2004,4671
"Switzerland",2005,4598
"Switzerland",2006,4377
"Switzerland",2007,4404
"Switzerland",2008,4511
"Switzerland",2009,4507
"Switzerland",2010,4353
"Switzerland",2011,4470
"Switzerland",2012,4388
"Switzerland",2013,4764
"Switzerland",2014,4316
"Switzerland",2015,4495
"Switzerland",2016,4676
"Switzerland",2017,4703
"Switzerland",2018,4655
"Turkey",1993,9751
"Turkey",1994,9534
"Turkey",1995,9794
"Turkey",1996,10961
"Turkey",1997,11424
"Turkey",1998,11970
"Turkey",1999,13217
"Turkey",2000,12791
"Turkey",2001,11726
"Turkey",2002,12476
"Turkey",2003,11603
"Turkey",2004,10782
"Turkey",2005,10392
"Turkey",2006,10878
"Turkey",2007,10489
"Turkey",2008,10640
"Turkey",2009,11385
"Turkey",2010,11184
"Turkey",2011,11280
"Turkey",2012,11556
"Turkey",2013,11868
"Turkey",2014,11955
"Turkey",2015,12302
"Turkey",2016,14423
"Turkey",2017,15480
"Turkey",2018,19649
"Ukraine",1993,264
"Ukraine",1994,1067
"Ukraine",1995,1148
"Ukraine",1996,1024
"Ukraine",1997,1291
"Ukraine",1998,966
"Ukraine",1999,904
"Ukraine",2000,1042
"Ukraine",2001,979
"Ukraine",2002,1133
"Ukraine",2003,1365
"Ukraine",2004,1495
"Ukraine",2005,1611
"Ukraine",2006,1808
"Ukraine",2007,2197
"Ukraine",2008,2149
"Ukraine",2009,1895
"Ukraine",2010,1967
"Ukraine",2011,1770
"Ukraine",2012,2000
"Ukraine",2013,2047
"Ukraine",2014,2812
"Ukraine",2015,3432
