cname1,year,milexpercap_sipri
"Bulgaria",2009,121.1
"Bulgaria",2010,112.1
"Bulgaria",2011,102.7
"Bulgaria",2012,98.5
"Bulgaria",2013,111.3
"Bulgaria",2014,103.2
"Bulgaria",2015,87.9
"Bulgaria",2016,93.8
"Bulgaria",2017,101.4
"Bulgaria",2018,136.3
"Canada",1993,359.7
"Canada",1994,331.8
"Canada",1995,314.7
"Canada",1996,292.5
"Canada",1997,267.1
"Canada",1998,258.1
"Canada",1999,271
"Canada",2000,271.3
"Canada",2001,271.2
"Canada",2002,272.5
"Canada",2003,316.3
"Canada",2004,356.3
"Canada",2005,403.8
"Canada",2006,455.2
"Canada",2007,528.9
"Canada",2008,580.2
"Canada",2009,561.1
"Canada",2010,565.7
"Canada",2011,619.4
"Canada",2012,585.7
"Canada",2013,524.6
"Canada",2014,500.6
"Canada",2015,497.9
"Canada",2016,488.8
"Canada",2017,606.3
"Canada",2018,613.1
"Croatia",1993,248.8
"Croatia",1994,348.9
"Croatia",1995,446.3
"Croatia",1996,423.8
"Croatia",1997,396.5
"Croatia",1998,317.7
"Croatia",1999,232.5
"Croatia",2000,149
"Croatia",2001,142.8
"Croatia",2002,166.9
"Croatia",2003,161.6
"Croatia",2004,166.7
"Croatia",2005,182.5
"Croatia",2006,194.3
"Croatia",2007,224.4
"Croatia",2008,297.7
"Croatia",2009,260.1
"Croatia",2010,234.7
"Croatia",2011,256.5
"Croatia",2012,222.4
"Croatia",2013,223.8
"Croatia",2014,249.9
"Croatia",2015,208.6
"Croatia",2016,198.8
"Croatia",2017,220.1
"Croatia",2018,232.5
"Cyprus",1993,327.7
"Cyprus",1994,356.5
"Cyprus",1995,349.4
"Cyprus",1996,513
"Cyprus",1997,599.4
"Cyprus",1998,532.3
"Cyprus",1999,313.1
"Cyprus",2000,298.1
"Cyprus",2001,341.2
"Cyprus",2002,248.2
"Cyprus",2003,290.3
"Cyprus",2004,335
"Cyprus",2005,370.6
"Cyprus",2006,370.8
"Cyprus",2007,380.9
"Cyprus",2008,419.6
"Cyprus",2009,429.2
"Cyprus",2010,429.2
"Cyprus",2011,426.5
"Cyprus",2012,365.2
"Cyprus",2013,336.5
"Cyprus",2014,310.5
"Cyprus",2015,282.4
"Cyprus",2016,252.4
"Cyprus",2017,304.4
"Cyprus",2018,374.3
"Czechia",1993,78.7
"Czechia",1994,90.6
"Czechia",1995,102.9
"Czechia",1996,108.6
"Czechia",1997,95.6
"Czechia",1998,113
"Czechia",1999,117
"Czechia",2000,112.5
"Czechia",2001,115.1
"Czechia",2002,145.8
"Czechia",2003,184.2
"Czechia",2004,199.4
"Czechia",2005,237.8
"Czechia",2006,237.9
"Czechia",2007,261.4
"Czechia",2008,280
"Czechia",2009,259.2
"Czechia",2010,237.1
"Czechia",2011,234.2
"Czechia",2012,209.9
"Czechia",2013,203
"Czechia",2014,191
"Czechia",2015,167.9
"Czechia",2016,184.1
"Czechia",2017,195.3
"Czechia",2018,254.1
"Czechoslovakia",1993,
"Czechoslovakia",1994,
"Czechoslovakia",1995,
"Czechoslovakia",1996,
"Czechoslovakia",1997,
"Czechoslovakia",1998,
"Czechoslovakia",1999,
"Czechoslovakia",2000,
"Czechoslovakia",2001,
"Czechoslovakia",2002,
"Czechoslovakia",2003,
"Czechoslovakia",2004,
"Czechoslovakia",2005,
"Czechoslovakia",2006,
"Czechoslovakia",2007,
"Czechoslovakia",2008,
"Czechoslovakia",2009,
"Czechoslovakia",2010,
"Czechoslovakia",2011,
"Czechoslovakia",2012,
"Czechoslovakia",2013,
"Czechoslovakia",2014,
"Czechoslovakia",2015,
"Czechoslovakia",2016,
"Czechoslovakia",2017,
"Czechoslovakia",2018,
"Denmark",1993,516.7
"Denmark",1994,521.7
"Denmark",1995,595.9
"Denmark",1996,587.3
"Denmark",1997,531.4
"Denmark",1998,537
"Denmark",1999,523.3
"Denmark",2000,447.9
"Denmark",2001,471.3
"Denmark",2002,501.4
"Denmark",2003,593.9
"Denmark",2004,662.4
"Denmark",2005,639.7
"Denmark",2006,715.7
"Denmark",2007,763.4
"Denmark",2008,870.9
"Denmark",2009,784.8
"Denmark",2010,810.7
"Denmark",2011,809.4
"Denmark",2012,788.2
"Denmark",2013,747.9
"Denmark",2014,716.2
"Denmark",2015,591.4
"Denmark",2016,629.1
"Denmark",2017,656.6
"Denmark",2018,792.5
"Estonia",1993,8.8
"Estonia",1994,17.3
"Estonia",1995,25.4
"Estonia",1996,29.2
"Estonia",1997,37.6
"Estonia",1998,42.6
"Estonia",1999,52.6
"Estonia",2000,56
"Estonia",2001,67.4
"Estonia",2002,88.3
"Estonia",2003,124.9
"Estonia",2004,150.3
"Estonia",2005,150.9
"Estonia",2006,175.1
"Estonia",2007,276.7
"Estonia",2008,320.6
"Estonia",2009,264.5
"Estonia",2010,249.4
"Estonia",2011,293.2
"Estonia",2012,330.2
"Estonia",2013,363.4
"Estonia",2014,389.1
"Estonia",2015,352.4
"Estonia",2016,378
"Estonia",2017,407.3
"Estonia",2018,458.6
"Finland",1993,318.5
"Finland",1994,344.6
"Finland",1995,372.9
"Finland",1996,393.6
"Finland",1997,377.9
"Finland",1998,379.5
"Finland",1999,319.5
"Finland",2000,300.3
"Finland",2001,284.4
"Finland",2002,309.1
"Finland",2003,473.5
"Finland",2004,551.9
"Finland",2005,570.3
"Finland",2006,592.8
"Finland",2007,622.3
"Finland",2008,744.1
"Finland",2009,737.6
"Finland",2010,692.8
"Finland",2011,760.6
"Finland",2012,728.2
"Finland",2013,765.1
"Finland",2014,729.8
"Finland",2015,620.2
"Finland",2016,621.2
"Finland",2017,622.5
"Finland",2018,680.3
"France",1993,623.6
"France",1994,647.5
"France",1995,694.2
"France",1996,671.9
"France",1997,596
"France",1998,575.5
"France",1999,556.6
"France",2000,481.3
"France",2001,470.7
"France",2002,511.3
"France",2003,640.1
"France",2004,733.5
"France",2005,727.1
"France",2006,744.5
"France",2007,819.2
"France",2008,890
"France",2009,902.4
"France",2010,827.7
"France",2011,856
"France",2012,790
"France",2013,813.9
"France",2014,827.7
"France",2015,708.2
"France",2016,732.5
"France",2017,758.7
"France",2018,791
"Georgia",1993,
"Georgia",1994,
"Georgia",1995,
"Georgia",1996,14
"Georgia",1997,9.3
"Georgia",1998,9
"Georgia",1999,5.8
"Georgia",2000,4.3
"Georgia",2001,5.5
"Georgia",2002,8
"Georgia",2003,10.1
"Georgia",2004,16.7
"Georgia",2005,50.8
"Georgia",2006,96.5
"Georgia",2007,223.6
"Georgia",2008,263.2
"Georgia",2009,146.5
"Georgia",2010,110.8
"Georgia",2011,114.9
"Georgia",2012,121.1
"Georgia",2013,109.1
"Georgia",2014,103
"Georgia",2015,74.4
"Georgia",2016,78.5
"Georgia",2017,77.9
"Georgia",2018,81.8
"Germany",1993,442.6
"Germany",1994,429.9
"Germany",1995,485.2
"Germany",1996,458.6
"Germany",1997,390.3
"Germany",1998,389.5
"Germany",1999,383.2
"Germany",2000,330.8
"Germany",2001,322
"Germany",2002,344.1
"Germany",2003,410.8
"Germany",2004,445.3
"Germany",2005,446
"Germany",2006,447.2
"Germany",2007,505.9
"Germany",2008,573.1
"Germany",2009,570.1
"Germany",2010,554.9
"Germany",2011,578.4
"Germany",2012,549.2
"Germany",2013,552.7
"Germany",2014,542.9
"Germany",2015,452.6
"Germany",2016,483.3
"Germany",2017,512.5
"Germany",2018,559.5
"Greece",1993,319.4
"Greece",1994,337
"Greece",1995,389
"Greece",1996,425.9
"Greece",1997,419.3
"Greece",1998,439.8
"Greece",1999,454.5
"Greece",2000,411.9
"Greece",2001,397.7
"Greece",2002,423.4
"Greece",2003,448.8
"Greece",2004,557.9
"Greece",2005,626.2
"Greece",2006,680.1
"Greece",2007,767.3
"Greece",2008,957.8
"Greece",2009,971
"Greece",2010,749.8
"Greece",2011,658.3
"Greece",2012,548.6
"Greece",2013,526.5
"Greece",2014,516.9
"Greece",2015,452
"Greece",2016,467.6
"Greece",2017,481.4
"Greece",2018,547.1
"Hungary",1993,71
"Hungary",1994,73.1
"Hungary",1995,59.2
"Hungary",1996,56.6
"Hungary",1997,67.5
"Hungary",1998,60.2
"Hungary",1999,68.6
"Hungary",2000,70
"Hungary",2001,82.9
"Hungary",2002,106.1
"Hungary",2003,138.2
"Hungary",2004,151.5
"Hungary",2005,158.2
"Hungary",2006,140.2
"Hungary",2007,177.2
"Hungary",2008,186.9
"Hungary",2009,148.2
"Hungary",2010,136.1
"Hungary",2011,148.8
"Hungary",2012,134
"Hungary",2013,130.2
"Hungary",2014,123.4
"Hungary",2015,115.8
"Hungary",2016,132.1
"Hungary",2017,150.4
"Hungary",2018,184.6
"Iceland",1993,0
"Iceland",1994,0
"Iceland",1995,0
"Iceland",1996,0
"Iceland",1997,0
"Iceland",1998,0
"Iceland",1999,0
"Iceland",2000,0
"Iceland",2001,0
"Iceland",2002,0
"Iceland",2003,0
"Iceland",2004,0
"Iceland",2005,0
"Iceland",2006,0
"Iceland",2007,0
"Iceland",2008,0
"Iceland",2009,0
"Iceland",2010,0
"Iceland",2011,0
"Iceland",2012,0
"Iceland",2013,0
"Iceland",2014,0
"Iceland",2015,0
"Iceland",2016,0
"Iceland",2017,0
"Iceland",2018,0
"Ireland",1993,168.5
"Ireland",1994,177.6
"Ireland",1995,195.4
"Ireland",1996,207.5
"Ireland",1997,209.6
"Ireland",1998,201.3
"Ireland",1999,198.7
"Ireland",2000,183.6
"Ireland",2001,199.8
"Ireland",2002,207.6
"Ireland",2003,242.5
"Ireland",2004,271.5
"Ireland",2005,276.5
"Ireland",2006,281.4
"Ireland",2007,317.3
"Ireland",2008,358.5
"Ireland",2009,315
"Ireland",2010,279.8
"Ireland",2011,283.2
"Ireland",2012,251.2
"Ireland",2013,259.1
"Ireland",2014,257.8
"Ireland",2015,214.3
"Ireland",2016,213.3
"Ireland",2017,215.7
"Ireland",2018,229.8
"Italy",1993,318.9
"Italy",1994,315.7
"Italy",1995,300.6
"Italy",1996,364.4
"Italy",1997,354.2
"Italy",1998,367
"Italy",1999,371
"Italy",2000,350.6
"Italy",2001,343.2
"Italy",2002,377.9
"Italy",2003,466
"Italy",2004,522.2
"Italy",2005,510.2
"Italy",2006,506.2
"Italy",2007,544.4
"Italy",2008,625.2
"Italy",2009,576.2
"Italy",2010,539.8
"Italy",2011,567.7
"Italy",2012,497.3
"Italy",2013,497.9
"Italy",2014,458.6
"Italy",2015,366.2
"Italy",2016,412.7
"Italy",2017,435.9
"Italy",2018,458.7
"Kosovo",1993,
"Kosovo",1994,
"Kosovo",1995,
"Kosovo",1996,
"Kosovo",1997,
"Kosovo",1998,
"Kosovo",1999,
"Kosovo",2000,
"Kosovo",2001,
"Kosovo",2002,
"Kosovo",2003,
"Kosovo",2004,
"Kosovo",2005,
"Kosovo",2006,
"Kosovo",2007,
"Kosovo",2008,.5
"Kosovo",2009,15.5
"Kosovo",2010,21.7
"Kosovo",2011,28.5
"Kosovo",2012,24
"Kosovo",2013,26.7
"Kosovo",2014,29.4
"Kosovo",2015,30
"Kosovo",2016,27.3
"Kosovo",2017,29.8
"Kosovo",2018,32.7
"Latvia",1993,6.9
"Latvia",1994,13.3
"Latvia",1995,17.4
"Latvia",1996,15.4
"Latvia",1997,15.5
"Latvia",1998,17.4
"Latvia",1999,23.5
"Latvia",2000,29.4
"Latvia",2001,36.9
"Latvia",2002,63.1
"Latvia",2003,82
"Latvia",2004,100.6
"Latvia",2005,121
"Latvia",2006,165.3
"Latvia",2007,219.1
"Latvia",2008,267.9
"Latvia",2009,169.6
"Latvia",2010,122.6
"Latvia",2011,141.8
"Latvia",2012,123.6
"Latvia",2013,138.7
"Latvia",2014,146.3
"Latvia",2015,141.5
"Latvia",2016,204.9
"Latvia",2017,247.3
"Latvia",2018,375.2
"Lithuania",1993,5.7
"Lithuania",1994,5.8
"Lithuania",1995,8.4
"Lithuania",1996,11.7
"Lithuania",1997,21.1
"Lithuania",1998,38.9
"Lithuania",1999,30.2
"Lithuania",2000,40.1
"Lithuania",2001,48
"Lithuania",2002,52.7
"Lithuania",2003,61.7
"Lithuania",2004,80.1
"Lithuania",2005,90.8
"Lithuania",2006,106.4
"Lithuania",2007,135.6
"Lithuania",2008,168.5
"Lithuania",2009,127.8
"Lithuania",2010,104.5
"Lithuania",2011,111.8
"Lithuania",2012,107.9
"Lithuania",2013,117.9
"Lithuania",2014,143.7
"Lithuania",2015,160.7
"Lithuania",2016,219.9
"Lithuania",2017,285.4
"Lithuania",2018,377.1
"Luxembourg",1993,272.4
"Luxembourg",1994,313.1
"Luxembourg",1995,348.5
"Luxembourg",1996,341.8
"Luxembourg",1997,319.2
"Luxembourg",1998,336.1
"Luxembourg",1999,326.4
"Luxembourg",2000,293.9
"Luxembourg",2001,364.1
"Luxembourg",2002,345.7
"Luxembourg",2003,444.1
"Luxembourg",2004,519.4
"Luxembourg",2005,532.4
"Luxembourg",2006,530.8
"Luxembourg",2007,602.3
"Luxembourg",2008,487.7
"Luxembourg",2009,449
"Luxembourg",2010,539.8
"Luxembourg",2011,494.8
"Luxembourg",2012,447.4
"Luxembourg",2013,476.7
"Luxembourg",2014,503.2
"Luxembourg",2015,487.3
"Luxembourg",2016,450.1
"Luxembourg",2017,604.3
"Luxembourg",2018,650.8
"Malta",1993,66.4
"Malta",1994,74.6
"Malta",1995,82.6
"Malta",1996,87.6
"Malta",1997,81.2
"Malta",1998,75.1
"Malta",1999,71.6
"Malta",2000,64.4
"Malta",2001,68.4
"Malta",2002,71.2
"Malta",2003,85.1
"Malta",2004,100.6
"Malta",2005,129.7
"Malta",2006,109.4
"Malta",2007,120.8
"Malta",2008,136.8
"Malta",2009,143.6
"Malta",2010,141.8
"Malta",2011,133.8
"Malta",2012,118.4
"Malta",2013,126.2
"Malta",2014,131.4
"Malta",2015,119.5
"Malta",2016,136.8
"Malta",2017,146.7
"Malta",2018,152.2
"Moldova",1993,
"Moldova",1994,
"Moldova",1995,3.1
"Moldova",1996,3.6
"Moldova",1997,4.1
"Moldova",1998,2.5
"Moldova",1999,1.4
"Moldova",2000,1.2
"Moldova",2001,1.4
"Moldova",2002,1.7
"Moldova",2003,2
"Moldova",2004,2.3
"Moldova",2005,2.9
"Moldova",2006,4
"Moldova",2007,5.5
"Moldova",2008,9
"Moldova",2009,6.1
"Moldova",2010,4.5
"Moldova",2011,5.6
"Moldova",2012,5.9
"Moldova",2013,6.6
"Moldova",2014,6.8
"Moldova",2015,5.7
"Moldova",2016,6.7
"Moldova",2017,7.6
"Moldova",2018,9.2
"Montenegro",1993,
"Montenegro",1994,
"Montenegro",1995,
"Montenegro",1996,
"Montenegro",1997,
"Montenegro",1998,
"Montenegro",1999,
"Montenegro",2000,
"Montenegro",2001,
"Montenegro",2002,
"Montenegro",2003,
"Montenegro",2004,
"Montenegro",2005,98.7
"Montenegro",2006,100.9
"Montenegro",2007,103.6
"Montenegro",2008,137
"Montenegro",2009,123.1
"Montenegro",2010,120.3
"Montenegro",2011,126.9
"Montenegro",2012,108.2
"Montenegro",2013,103.5
"Montenegro",2014,107.8
"Montenegro",2015,90.7
"Montenegro",2016,98.4
"Montenegro",2017,104.7
"Montenegro",2018,125.7
"Netherlands",1993,462.1
"Netherlands",1994,464.4
"Netherlands",1995,517.9
"Netherlands",1996,503
"Netherlands",1997,436.9
"Netherlands",1998,434.2
"Netherlands",1999,443.7
"Netherlands",2000,375
"Netherlands",2001,387.1
"Netherlands",2002,417.6
"Netherlands",2003,515.8
"Netherlands",2004,575.7
"Netherlands",2005,584.5
"Netherlands",2006,621.5
"Netherlands",2007,695.5
"Netherlands",2008,746.9
"Netherlands",2009,729.7
"Netherlands",2010,672.6
"Netherlands",2011,695.9
"Netherlands",2012,617.2
"Netherlands",2013,607.1
"Netherlands",2014,611.7
"Netherlands",2015,511.7
"Netherlands",2016,536.8
"Netherlands",2017,562.9
"Netherlands",2018,651.5
"North Macedonia",1993,
"North Macedonia",1994,
"North Macedonia",1995,
"North Macedonia",1996,65.7
"North Macedonia",1997,41.6
"North Macedonia",1998,39.3
"North Macedonia",1999,32.7
"North Macedonia",2000,34.3
"North Macedonia",2001,110.8
"North Macedonia",2002,51.9
"North Macedonia",2003,56.4
"North Macedonia",2004,65.8
"North Macedonia",2005,61.6
"North Macedonia",2006,61.1
"North Macedonia",2007,78.7
"North Macedonia",2008,83.5
"North Macedonia",2009,76.7
"North Macedonia",2010,62.8
"North Macedonia",2011,63.9
"North Macedonia",2012,57.6
"North Macedonia",2013,60.9
"North Macedonia",2014,59.8
"North Macedonia",2015,48.1
"North Macedonia",2016,49.8
"North Macedonia",2017,48.4
"North Macedonia",2018,57.4
"Norway",1993,735.6
"Norway",1994,783.9
"Norway",1995,803.3
"Norway",1996,805.1
"Norway",1997,735.9
"Norway",1998,747.6
"Norway",1999,739.6
"Norway",2000,649.5
"Norway",2001,655.7
"Norway",2002,894.4
"Norway",2003,988.5
"Norway",2004,1062.9
"Norway",2005,1054.5
"Norway",2006,1072.5
"Norway",2007,1244.9
"Norway",2008,1335.3
"Norway",2009,1283.6
"Norway",2010,1330.1
"Norway",2011,1461.6
"Norway",2012,1424.9
"Norway",2013,1455.2
"Norway",2014,1426.8
"Norway",2015,1118.4
"Norway",2016,1142.2
"Norway",2017,1220.8
"Norway",2018,1323.9
"Poland",1993,55.4
"Poland",1994,58.7
"Poland",1995,70.7
"Poland",1996,80.1
"Poland",1997,82.8
"Poland",1998,90.5
"Poland",1999,83.7
"Poland",2000,81.6
"Poland",2001,94.2
"Poland",2002,98.1
"Poland",2003,108
"Poland",2004,124.4
"Poland",2005,153.7
"Poland",2006,172.6
"Poland",2007,223.9
"Poland",2008,243.7
"Poland",2009,206.1
"Poland",2010,229.3
"Poland",2011,247
"Poland",2012,235.1
"Poland",2013,243.1
"Poland",2014,271.6
"Poland",2015,268.5
"Poland",2016,241.2
"Poland",2017,260.1
"Poland",2018,317.5
"Portugal",1993,219.3
"Portugal",1994,216.4
"Portugal",1995,264.6
"Portugal",1996,256.6
"Portugal",1997,234.8
"Portugal",1998,228.7
"Portugal",1999,234.7
"Portugal",2000,214.1
"Portugal",2001,224.8
"Portugal",2002,250.6
"Portugal",2003,298.2
"Portugal",2004,355.2
"Portugal",2005,384.4
"Portugal",2006,385.7
"Portugal",2007,413
"Portugal",2008,454.2
"Portugal",2009,466.8
"Portugal",2010,445.3
"Portugal",2011,464
"Portugal",2012,393
"Portugal",2013,451.1
"Portugal",2014,394.6
"Portugal",2015,343.9
"Portugal",2016,400.3
"Portugal",2017,357.3
"Portugal",2018,431
"Romania",1993,31.1
"Romania",1994,40.5
"Romania",1995,42.8
"Romania",1996,38.3
"Romania",1997,47.5
"Romania",1998,55.8
"Romania",1999,42.8
"Romania",2000,42.3
"Romania",2001,44.8
"Romania",2002,48.3
"Romania",2003,57.6
"Romania",2004,70.9
"Romania",2005,92.3
"Romania",2006,106
"Romania",2007,124
"Romania",2008,144
"Romania",2009,107.8
"Romania",2010,101.9
"Romania",2011,117
"Romania",2012,104
"Romania",2013,121.8
"Romania",2014,134.3
"Romania",2015,129.5
"Romania",2016,133.6
"Romania",2017,184.3
"Romania",2018,223.5
"Serbia",1993,
"Serbia",1994,
"Serbia",1995,
"Serbia",1996,
"Serbia",1997,93.4
"Serbia",1998,66.3
"Serbia",1999,77
"Serbia",2000,35.5
"Serbia",2001,52.5
"Serbia",2002,72.6
"Serbia",2003,78.6
"Serbia",2004,80
"Serbia",2005,68.5
"Serbia",2006,77.1
"Serbia",2007,106.8
"Serbia",2008,122.7
"Serbia",2009,108
"Serbia",2010,97
"Serbia",2011,110.1
"Serbia",2012,95.5
"Serbia",2013,103.1
"Serbia",2014,102.6
"Serbia",2015,81.6
"Serbia",2016,80.2
"Serbia",2017,90.8
"Serbia",2018,92.9
"Slovakia",1993,49.9
"Slovakia",1994,55.9
"Slovakia",1995,117.1
"Slovakia",1996,119.1
"Slovakia",1997,92.7
"Slovakia",1998,73.7
"Slovakia",1999,60.6
"Slovakia",2000,63.4
"Slovakia",2001,73
"Slovakia",2002,81.5
"Slovakia",2003,115.7
"Slovakia",2004,131.7
"Slovakia",2005,152.5
"Slovakia",2006,168.8
"Slovakia",2007,211
"Slovakia",2008,261.5
"Slovakia",2009,250
"Slovakia",2010,210.5
"Slovakia",2011,196.9
"Slovakia",2012,188.4
"Slovakia",2013,178.5
"Slovakia",2014,183.8
"Slovakia",2015,181.4
"Slovakia",2016,184.3
"Slovakia",2017,192.6
"Slovakia",2018,237.7
"Slovenia",1993,115.1
"Slovenia",1994,119.3
"Slovenia",1995,168.1
"Slovenia",1996,165.9
"Slovenia",1997,146.3
"Slovenia",1998,151.5
"Slovenia",1999,138.3
"Slovenia",2000,111.9
"Slovenia",2001,136.6
"Slovenia",2002,164.5
"Slovenia",2003,209.7
"Slovenia",2004,247.8
"Slovenia",2005,257.7
"Slovenia",2006,304
"Slovenia",2007,344.2
"Slovenia",2008,410
"Slovenia",2009,392.8
"Slovenia",2010,377.9
"Slovenia",2011,324.5
"Slovenia",2012,264.1
"Slovenia",2013,245.6
"Slovenia",2014,235.2
"Slovenia",2015,193.5
"Slovenia",2016,216.6
"Slovenia",2017,228.2
"Slovenia",2018,254.8
"Spain",1993,254
"Spain",1994,254.5
"Spain",1995,287.5
"Spain",1996,283
"Spain",1997,246.4
"Spain",1998,257
"Spain",1999,274.7
"Spain",2000,251.7
"Spain",2001,247.4
"Spain",2002,245
"Spain",2003,302.4
"Spain",2004,352.4
"Spain",2005,363.4
"Spain",2006,385.7
"Spain",2007,441.7
"Spain",2008,482.5
"Spain",2009,433.2
"Spain",2010,420
"Spain",2011,418.3
"Spain",2012,400.8
"Spain",2013,367.4
"Spain",2014,367.2
"Spain",2015,325.4
"Spain",2016,300.5
"Spain",2017,343.9
"Spain",2018,381.7
"Sweden",1993,572.9
"Sweden",1994,585.9
"Sweden",1995,648.4
"Sweden",1996,700.2
"Sweden",1997,586.7
"Sweden",1998,578.6
"Sweden",1999,580.3
"Sweden",2000,539.3
"Sweden",2001,463.9
"Sweden",2002,488.1
"Sweden",2003,592.7
"Sweden",2004,613.4
"Sweden",2005,610.5
"Sweden",2006,613.1
"Sweden",2007,697
"Sweden",2008,652.3
